Freq.	V(out)
1.77827941003891e+03	(1.57491946838491e+01dB,-2.95663077076603e-01°)
1.99526231496887e+03	(1.57491685399490e+01dB,-3.31738808455331e-01°)
2.23872113856833e+03	(1.57491356269516e+01dB,-3.72216188932910e-01°)
2.51188643150957e+03	(1.57490941922959e+01dB,-4.17632195373465e-01°)
2.81838293126444e+03	(1.57490420297146e+01dB,-4.68589282186867e-01°)
3.16227766016836e+03	(1.57489763618023e+01dB,-5.25763352838640e-01°)
3.54813389233573e+03	(1.57488936922046e+01dB,-5.89912696625021e-01°)
3.98107170553495e+03	(1.57487896195749e+01dB,-6.61888005440058e-01°)
4.46683592150961e+03	(1.57486586034273e+01dB,-7.42643598002419e-01°)
5.01187233627269e+03	(1.57484936694650e+01dB,-8.33249992787211e-01°)
5.62341325190346e+03	(1.57482860387759e+01dB,-9.34907985636541e-01°)
6.30957344480189e+03	(1.57480246612773e+01dB,-1.04896440351806e+00°)
7.07945784384134e+03	(1.57476956287708e+01dB,-1.17692972183522e+00°)
7.94328234724277e+03	(1.57472814366750e+01dB,-1.32049774852607e+00°)
8.91250938133740e+03	(1.57467600556369e+01dB,-1.48156759307320e+00°)
9.99999999999994e+03	(1.57461037643992e+01dB,-1.66226815119794e+00°)
1.12201845430196e+04	(1.57452776830616e+01dB,-1.86498534451492e+00°)
1.25892541179416e+04	(1.57442379306735e+01dB,-2.09239235597627e+00°)
1.41253754462275e+04	(1.57429293122789e+01dB,-2.34748309249053e+00°)
1.58489319246110e+04	(1.57412824173579e+01dB,-2.63360907986892e+00°)
1.77827941003891e+04	(1.57392099832291e+01dB,-2.95451994402937e+00°)
1.99526231496887e+04	(1.57366023425137e+01dB,-3.31440754465845e+00°)
2.23872113856832e+04	(1.57333217323494e+01dB,-3.71795368727851e+00°)
2.51188643150956e+04	(1.57291951940013e+01dB,-4.17038112484875e+00°)
2.81838293126443e+04	(1.57240057346006e+01dB,-4.67750724068648e+00°)
3.16227766016836e+04	(1.57174813585765e+01dB,-5.24579934052881e+00°)
3.54813389233573e+04	(1.57092815071288e+01dB,-5.88242982036627e+00°)
3.98107170553494e+04	(1.56989803746648e+01dB,-6.59532855112609e+00°)
4.46683592150960e+04	(1.56860465106424e+01dB,-7.39322854896103e+00°)
5.01187233627269e+04	(1.56698180795062e+01dB,-8.28569928560784e+00°)
5.62341325190345e+04	(1.56494731660710e+01dB,-9.28315973798336e+00°)
