Freq.	V(out)
5.62341325190347e+02	(6.68802415886608e+00dB,-5.78387567109831e-02°)
6.30957344480191e+02	(6.68802267413586e+00dB,-6.48961423757205e-02°)
7.07945784384135e+02	(6.68802080497224e+00dB,-7.28146551938113e-02°)
7.94328234724278e+02	(6.68801845183618e+00dB,-8.16993668628574e-02°)
8.91250938133742e+02	(6.68801548941584e+00dB,-9.16681690625576e-02°)
9.99999999999995e+02	(6.68801175995348e+00dB,-1.02853337438671e-01°)
1.12201845430196e+03	(6.68800706484466e+00dB,-1.15403286302071e-01°)
1.25892541179416e+03	(6.68800115406259e+00dB,-1.29484537264232e-01°)
1.41253754462275e+03	(6.68799371284423e+00dB,-1.45283927843517e-01°)
1.58489319246111e+03	(6.68798434492977e+00dB,-1.63011089224532e-01°)
1.77827941003891e+03	(6.68797255146289e+00dB,-1.82901225872910e-01°)
1.99526231496887e+03	(6.68795770442908e+00dB,-2.05218233640692e-01°)
2.23872113856833e+03	(6.68793901321812e+00dB,-2.30258197386575e-01°)
2.51188643150957e+03	(6.68791548253173e+00dB,-2.58353314026316e-01°)
2.81838293126444e+03	(6.68788585939683e+00dB,-2.89876292369324e-01°)
3.16227766016836e+03	(6.68784856646648e+00dB,-3.25245287135220e-01°)
3.54813389233573e+03	(6.68780161806205e+00dB,-3.64929431224467e-01°)
3.98107170553495e+03	(6.68774251449462e+00dB,-4.09455037679561e-01°)
4.46683592150961e+03	(6.68766810905202e+00dB,-4.59412550846246e-01°)
5.01187233627269e+03	(6.68757444059079e+00dB,-5.15464335037105e-01°)
5.62341325190346e+03	(6.68745652285354e+00dB,-5.78353398491689e-01°)
6.30957344480189e+03	(6.68730807934894e+00dB,-6.48913160549459e-01°)
7.07945784384134e+03	(6.68712120976551e+00dB,-7.28078380564702e-01°)
7.94328234724277e+03	(6.68688597029656e+00dB,-8.16897377950823e-01°)
8.91250938133740e+03	(6.68658984575268e+00dB,-9.16545683445591e-01°)
9.99999999999994e+03	(6.68621708570654e+00dB,-1.02834127161615e+00°)
1.12201845430196e+04	(6.68574786988240e+00dB,-1.15376153282970e+00°)
1.25892541179416e+04	(6.68515725923914e+00dB,-1.29446214800316e+00°)
1.41253754462275e+04	(6.68441387830401e+00dB,-1.45229802936604e+00°)
1.58489319246110e+04	(6.68347826082745e+00dB,-1.62934648226920e+00°)
1.77827941003891e+04	(6.68230077420221e+00dB,-1.82793272251806e+00°)
1.99526231496887e+04	(6.68081901771576e+00dB,-2.05065784480354e+00°)
2.23872113856832e+04	(6.67895456493011e+00dB,-2.30042927211240e+00°)
2.51188643150956e+04	(6.67660889067049e+00dB,-2.58049361175770e+00°)
2.81838293126443e+04	(6.67365828772932e+00dB,-2.89447168463564e+00°)
3.16227766016836e+04	(6.66994753722763e+00dB,-3.24639525829690e+00°)
3.54813389233573e+04	(6.66528205000177e+00dB,-3.64074467152061e+00°)
3.98107170553494e+04	(6.65941814588046e+00dB,-4.08248604871159e+00°)
4.46683592150960e+04	(6.65205108665955e+00dB,-4.57710611541939e+00°)
5.01187233627269e+04	(6.64280043343671e+00dB,-5.13064167756540e+00°)
5.62341325190345e+04	(6.63119227107082e+00dB,-5.74969954034501e+00°)
6.30957344480188e+04	(6.61663785059773e+00dB,-6.44146093464696e+00°)
7.07945784384133e+04	(6.59840827392665e+00dB,-7.21366231100941e+00°)
7.94328234724275e+04	(6.57560502838152e+00dB,-8.07454160774335e+00°)
