Freq.	V(out)
2.81838293126443e+04	(7.70852279616149e+00dB,-3.10055005634858e+00°)
3.16227766016836e+04	(7.70453660647851e+00dB,-3.47753190060548e+00°)
3.54813389233573e+04	(7.69952480282012e+00dB,-3.89996143586580e+00°)
3.98107170553494e+04	(7.69322560861646e+00dB,-4.37315893396792e+00°)
4.46683592150960e+04	(7.68531165075278e+00dB,-4.90300259211797e+00°)
5.01187233627269e+04	(7.67537422551333e+00dB,-5.49596023174866e+00°)
5.62341325190345e+04	(7.66290419581897e+00dB,-6.15911081585495e+00°)
6.30957344480188e+04	(7.64726903475259e+00dB,-6.90014946118941e+00°)
7.07945784384133e+04	(7.62768560734945e+00dB,-7.72736727310747e+00°)
7.94328234724275e+04	(7.60318847594380e+00dB,-8.64959440606994e+00°)
8.91250938133739e+04	(7.57259389098301e+00dB,-9.67609129398742e+00°)
9.99999999999992e+04	(7.53446027892918e+00dB,-1.08163692227177e+01°)
1.12201845430195e+05	(7.48704707170962e+00dB,-1.20799178706324e+01°)
1.25892541179416e+05	(7.42827525402156e+00dB,-1.34758151691755e+01°)
1.41253754462274e+05	(7.35569512077893e+00dB,-1.50121956093483e+01°)
1.58489319246110e+05	(7.26646942010732e+00dB,-1.66955596160476e+01°)
1.77827941003891e+05	(7.15738307246848e+00dB,-1.85299223427664e+01°)
1.99526231496886e+05	(7.02489339762286e+00dB,-2.05158289608791e+01°)
2.23872113856832e+05	(6.86523613009097e+00dB,-2.26493077166602e+01°)
2.51188643150956e+05	(6.67460081868865e+00dB,-2.49208902515386e+01°)
2.81838293126443e+05	(6.44938262344431e+00dB,-2.73148921148613e+01°)
3.16227766016835e+05	(6.18650474595994e+00dB,-2.98091963735546e+01°)
3.54813389233572e+05	(5.88378724554854e+00dB,-3.23757926847629e+01°)
3.98107170553494e+05	(5.54031721378345e+00dB,-3.49822661781866e+01°)
4.46683592150959e+05	(5.15675859079724e+00dB,-3.75942932028954e+01°)
5.01187233627268e+05	(4.73553475767556e+00dB,-4.01790024893691e+01°)
5.62341325190344e+05	(4.28082836694523e+00dB,-4.27088507567307e+01°)
6.30957344480187e+05	(3.79836989114754e+00dB,-4.51655058835417e+01°)
7.07945784384131e+05	(3.29502231888749e+00dB,-4.75431771837096e+01°)
7.94328234724274e+05	(2.77820497626495e+00dB,-4.98508918212490e+01°)
8.91250938133737e+05	(2.25522730980224e+00dB,-5.21133647652189e+01°)
9.99999999999990e+05	(1.73262060098869e+00dB,-5.43703115814613e+01°)
1.12201845430195e+06	(1.21556168748015e+00dB,-5.66742840718866e+01°)
1.25892541179415e+06	(7.07477225796652e-01dB,-5.90873553932062e+01°)
1.41253754462274e+06	(2.09897797534042e-01dB,-6.16772267369459e+01°)
1.58489319246110e+06	(-2.77403304665663e-01dB,-6.45135386735959e+01°)
1.77827941003891e+06	(-7.55999782773676e-01dB,-6.76653060731747e+01°)
1.99526231496886e+06	(-1.22820025010093e+00dB,-7.12004325808092e+01°)
2.23872113856832e+06	(-1.69636486231839e+00dB,-7.51882124050608e+01°)
2.51188643150955e+06	(-2.16234961780220e+00dB,-7.97056397021988e+01°)
2.81838293126442e+06	(-2.62737384698428e+00dB,-8.48482572796223e+01°)
3.16227766016835e+06	(-3.09278166549047e+00dB,-9.07461043852811e+01°)
3.54813389233572e+06	(-3.56251818375707e+00dB,-9.75845434554527e+01°)
3.98107170553493e+06	(-4.04878848810498e+00dB,-1.05626499026327e+02°)
4.46683592150958e+06	(-4.58320853940041e+00dB,-1.15221738735698e+02°)
5.01187233627267e+06	(-5.23527466585038e+00dB,-1.26760224412030e+02°)
5.50000000000000e+06	(-5.93228661209855e+00dB,-1.37669615996088e+02°)
