Freq.	V(out)
1.12201845430196e+04	(1.59851123436675e+01dB,-1.88299689745621e+00°)
1.25892541179416e+04	(1.59840589370314e+01dB,-2.11259858276422e+00°)
1.41253754462275e+04	(1.59827331382597e+01dB,-2.37015052052481e+00°)
1.58489319246110e+04	(1.59810646292553e+01dB,-2.65903623847682e+00°)
1.77827941003891e+04	(1.59789650079257e+01dB,-2.98304105646587e+00°)
1.99526231496887e+04	(1.59763231774549e+01dB,-3.34639658389842e+00°)
2.23872113856832e+04	(1.59729995833181e+01dB,-3.75382880507085e+00°)
2.51188643150956e+04	(1.59688190236655e+01dB,-4.21060945090338e+00°)
2.81838293126443e+04	(1.59635617013491e+01dB,-4.72261002954937e+00°)
3.16227766016836e+04	(1.59569521213302e+01dB,-5.29635741508538e+00°)
3.54813389233573e+04	(1.59486453678179e+01dB,-5.93908921964581e+00°)
3.98107170553494e+04	(1.59382102262702e+01dB,-6.65880623195071e+00°)
4.46683592150960e+04	(1.59251085558094e+01dB,-7.46431791095870e+00°)
5.01187233627269e+04	(1.59086702839040e+01dB,-8.36527518163299e+00°)
5.62341325190345e+04	(1.58880634137207e+01dB,-9.37218249177896e+00°)
6.30957344480188e+04	(1.58622585460167e+01dB,-1.04963781745857e+01°)
7.07945784384133e+04	(1.58299876814525e+01dB,-1.17499686021121e+01°)
7.94328234724275e+04	(1.57896975682829e+01dB,-1.31456975275874e+01°)
8.91250938133739e+04	(1.57394987002693e+01dB,-1.46967277713771e+01°)
9.99999999999992e+04	(1.56771123705864e+01dB,-1.64163088066288e+01°)
1.12201845430195e+05	(1.55998200576940e+01dB,-1.83173022878610e+01°)
1.25892541179416e+05	(1.55044218982664e+01dB,-2.04115404247238e+01°)
1.41253754462274e+05	(1.53872139633887e+01dB,-2.27090025130816e+01°)
1.58489319246110e+05	(1.52439970639012e+01dB,-2.52168166085010e+01°)
1.77827941003891e+05	(1.50701319789611e+01dB,-2.79381293706977e+01°)
1.99526231496886e+05	(1.48606559134448e+01dB,-3.08709377935635e+01°)
2.23872113856832e+05	(1.46104708818390e+01dB,-3.40070361100400e+01°)
2.51188643150956e+05	(1.43146050892986e+01dB,-3.73312848940249e+01°)
2.81838293126443e+05	(1.39685330899755e+01dB,-4.08214335097066e+01°)
3.16227766016835e+05	(1.35685219782995e+01dB,-4.44486949250839e+01°)
3.54813389233572e+05	(1.31119545816983e+01dB,-4.81791674162983e+01°)
3.98107170553494e+05	(1.25975737612277e+01dB,-5.19760312593177e+01°)
4.46683592150959e+05	(1.20256000758395e+01dB,-5.58022641852162e+01°)
5.01187233627268e+05	(1.13976984331215e+01dB,-5.96234823287190e+01°)
5.62341325190344e+05	(1.07168012954236e+01dB,-6.34104791837379e+01°)
6.30957344480187e+05	(9.98682566893810e+00dB,-6.71411187803299e+01°)
7.07945784384131e+05	(9.21233881381686e+00dB,-7.08014068870213e+01°)
7.94328234724274e+05	(8.39822951449570e+00dB,-7.43857526743240e+01°)
8.91250938133737e+05	(7.54943059486157e+00dB,-7.78965851425513e+01°)
9.99999999999990e+05	(6.67072068598174e+00dB,-8.13435753072585e+01°)
1.12201845430195e+06	(5.76661540474379e+00dB,-8.47427408203791e+01°)
1.25892541179415e+06	(4.84134361475509e+00dB,-8.81156980414308e+01°)
1.41253754462274e+06	(3.89889353057468e+00dB,-9.14893036136903e+01°)
